CTD-2588J6.1	16	82154242	82155374
SERPINA2P	14	94830052	94833039
RP13-100A9.2	X	63946627	63946928
RP3-415N12.1	6	111816193	111816916
ATRX	X	76760377	77786233
RP11-181G12.5	1	2143609	2144013
AC007272.2	2	201927811	201928774
AC007272.3	2	201966811	201967680
PSMA2P1	11	87040448	87041094
CPHL1P	3	148947142	148994451
RP11-454K24.1	X	24329023	24331432
RP1-20N18.4	1	152996437	152996736
TCOF1	5	149737201	149779870
NSRP1	17	28442538	30186474
SPPL3	12	121200312	121342174
AP000867.13	11	71290773	71290894
AP000867.14	11	71279725	71279980
OPA3	19	46030684	46105470
OPA1	3	193310932	193415612
RP11-666A8.1	17	74426498	74427206
RP11-441M10.1	3	159104544	159105229
RP11-190A12.7	1	159827689	159842843
RP11-626A1.1	3	42018499	42019526
RP11-626A1.2	3	41996936	41997255
AC108938.3	2	111257676	111257812
AC108938.2	2	111140688	111142219
AC108938.5	2	110402934	110473075
ITGA1	5	52083729	52252327
ITGA2	5	52285155	52390609
ITGA3	17	48133331	48167845
ITGA4	2	182321928	182400914
ITGA5	12	54789044	54813244
ITGA6	2	173292081	173371002
ITGA7	12	56078351	56109827
TRHR	8	110098849	110131813
AC010468.3	5	110490941	110491850
AC010468.1	5	110527923	110528740
RP11-428L21.2	4	93743136	93744069
CA15P1	22	19019076	19022077
CA15P2	22	18636445	18638405
UFSP1	7	100486345	100487339
UFSP2	4	186320693	186347139
RP11-566K19.5	15	22770523	23099971
RP11-566K19.8	15	22371736	22373570
RP11-566K19.9	15	23326256	23334127
AP002348.1	11	120382510	120385732
MT-CYB	MT	14746	15887
RP11-1094M14.7	17	33786499	33787569
TEX28P2	X	154159357	154176349
TEX28P1	X	154196471	154213487
FAM212B	1	111753775	112298446
FAM212A	3	49840686	49842463
CHST9	18	24495594	27185317
CHST8	19	33621984	34264413
CHST1	11	45670426	45687172
RP11-155G15.3	5	96785061	96785445
IGHVII-60-1	14	107093722	107093978
CHST2	3	142838172	142841800
SPDYE12P	7	74906673	74913256
CHST4	16	71559135	71572649
CHST7	X	46433218	46457843
CHST6	16	75510948	75529282
ITGAX	16	31366454	31394318
RPS4XP3	20	55176756	55177169
BCL2A1	15	80253230	80263788
ITGAV	2	187454791	187545628
RP11-16L9.1	1	198918144	198918934
ITGAL	16	30483978	30534289
ITGAM	16	31271310	31344190
ITGAD	16	31404632	31437826
ITGAE	17	3617921	3704537
IGF2R	6	160390130	160534539
CTD-2587H24.4	19	55666124	55672039
RP11-54J7.2	11	25162078	25162569
SLC36A4	11	92877340	92931130
SLC36A3	5	150656322	150683327
SLC36A1	5	150816606	151480143
RP11-562M8.4	9	32926048	32926448
AC114973.1	5	56271419	56272051
RP11-45O22.1	9	41776063	41777434
ARTN	1	44398991	44402913
ART1	11	3666357	3685646
ART3	4	76932336	77033955
ART5	11	3659732	3663546
ART4	12	14978502	14996429
RFPL1	22	29834571	29838444
AC129492.1	17	8188933	8189688
CRTAM	11	122709207	122743347
RP11-170L9.1	11	80668359	80668677
CADPS2	7	121958480	122886759
RLF	1	40627044	40706593
RP1-15D7.1	6	27620380	27620604
USP17L30	4	9364854	9366447
CTD-3116E22.6	19	9834683	9835762
CRTAP	3	33155470	33185153
RP11-85D18.1	2	69251818	69252364
ADPGK	15	73043709	73078187
CPEB4	5	173315282	173388979
RP11-841C19.3	12	19566086	19566395
RP11-841C19.4	12	19418927	19419161
CPEB3	10	92048642	94050844
CPEB2	4	15004297	15071777
SRBD1	2	45615818	45839304
ABAT	16	8768421	8878432
RP11-67M24.5	4	77157421	77177613
CTD-3065B20.1	15	91177956	91178265
RP11-795J1.2	6	46406046	46406356
POU5F1B	8	128426534	128432311
PHOX2A	11	71950120	71956708
OR4A44P	11	48649097	48650045
PHOX2B	4	41746098	41750987
NLRP14	11	7041676	7092539
UPK2	11	118795872	118829269
CFH	1	196621007	196716634
CFI	4	109740713	110723335
ANKFY1	17	4067200	4167272
CFB	6	31895474	31919861
CFP	X	47483611	47489704
AAAS	12	53701239	53718648
SIDT1	3	113251142	113348425
SIDT2	11	117049448	117197441
CDH24	14	23047062	23526747
RP11-702H23.2	11	74196624	74197096
RP11-702H23.3	11	74193294	74193587
SAGE1	X	134971373	134995220
RP11-556O5.1	8	8011829	8074438
AAGAB	15	67493370	67547533
C4orf19	4	37455562	37625117
C4orf17	4	100432160	100463460
EIF3EP2	2	162944768	162946582
EIF3EP1	6	74001684	74003000
AL591806.1	1	161065865	161066153
EFHA1	13	22066835	22178353
IGLVI-38	22	22780157	22780651
EFHA2	8	16884746	16980153
NBEAP1	15	20862966	20893737
NBEAP3	22	16100516	16124973
RP11-21G15.1	18	10724616	10728537
ABCE1	4	146019083	146050331
RP3-388M5.8	22	44155078	44155790
TEN1-CDK3	17	73975311	74002080
AC090283.3	17	38843289	38845612
AC103563.3	2	95626791	95627248
ARPP21	3	35680436	35835988
MSL3P1	2	234774082	234777090
RP4-631H13.6	1	53386093	53386268
RP4-631H13.5	1	53409207	53409602
RP4-631H13.4	1	53390920	53391095
RP11-678L1.1	3	120817954	120818621
NCBP2-AS2	3	196942623	196943540
MTND4LP1	X	125606710	125606867
RP4-735N21.1	1	99929933	99930332
RP11-549L6.2	10	112016821	112017601
C15orf26	15	81299373	81441516
C15orf27	15	76352177	76521462
RP1-197J16.1	X	101244456	101244845
C15orf23	15	40674921	40686446
MRPS31P4	13	52600119	53211581
ZNF117	7	64438359	64982119
ZNF114	19	48675574	48790865
SEZ6L	22	26169575	26779562
ITGA8	10	15555947	15762124
GPR15	3	98250742	98251960
ITGA9	3	37493605	37865005
PRKAR2A	3	48782029	48885279
PRKAR2B	7	106685093	106802256
MAGT1	X	77081860	77895568
TMEM200B	1	29445939	29450447
RP11-378J18.10	1	222510169	222519732
ITGA2B	17	42449547	42466873
FAM58DP	13	19956593	19957212
RP11-655D3.3	17	9756064	9756623
PHACTR4	1	28369582	28826881
NLGN2	17	7308192	7323179
NLGN3	X	70364680	71171114
PHACTR3	20	58152563	58422766
NUP107	12	69080513	69136785
